armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
95,-560.23364,-1128.9602,-167.96875,100.0,Connector,flameZ,76561197978835160,ct,ct,4,21,78,left_arm,t,60287,-834.7827,14.434035,-167.94757,99,Catwalk,REZ,76561198034172415,t,m4a1,21,9
91,-557.94806,-1133.043,-167.96875,100.0,Connector,flameZ,76561197978835160,ct,ct,4,21,57,chest,t,60292,-832.18665,19.573961,-167.77954,78,Catwalk,REZ,76561198034172415,t,m4a1,21,9
93,-742.45245,26.441284,-143.96875,100.0,Catwalk,acoR,76561198002942763,t,ct,3,26,74,chest,t,60301,-1822.2112,619.849,-167.96875,100,BombsiteB,mezii,76561197973140692,ct,ak47,26,9
87,-551.51166,-1141.8267,-167.96875,100.0,Connector,flameZ,76561197978835160,ct,ct,4,21,36,left_arm,t,60304,-828.07294,28.251945,-167.49597,57,Catwalk,REZ,76561198034172415,t,m4a1,21,9
83,-551.80316,-1146.2069,-167.96875,100.0,Connector,flameZ,76561197978835160,ct,ct,4,21,15,chest,t,60310,-827.21326,32.714787,-167.3501,36,Catwalk,REZ,76561198034172415,t,m4a1,21,9
96,-1827.7252,623.6944,-167.96875,74.0,BombsiteB,mezii,76561197973140692,ct,ct,4,33,67,stomach,t,60312,-742.9765,25.504927,-143.96875,100,Catwalk,acoR,76561198002942763,t,ak47,33,9
79,-553.757,-1148.5824,-167.96875,100.0,Connector,flameZ,76561197978835160,ct,ct,4,21,0,chest,t,60315,-829.77826,32.99281,-167.341,15,Catwalk,REZ,76561198034172415,t,m4a1,15,9
96,-1826.5823,626.75726,-167.96875,74.0,BombsiteB,mezii,76561197973140692,ct,ct,0,25,42,left_leg,t,60319,-743.7207,24.167763,-143.96875,67,Catwalk,acoR,76561198002942763,t,ak47,25,9
90,-744.94727,21.998459,-143.96875,42.0,Catwalk,acoR,76561198002942763,t,ct,3,26,48,chest,t,60327,-1824.919,629.8847,-167.96875,74,BombsiteB,mezii,76561197973140692,ct,ak47,26,9
93,-1824.2572,629.9669,-167.96875,48.0,BombsiteB,mezii,76561197973140692,ct,ct,3,26,16,chest,t,60331,-743.8402,22.95802,-143.96875,42,Catwalk,acoR,76561198002942763,t,ak47,26,9
