thrower_steamid,thrower,grenade_type,tick,X,Y,Z,entity_id,round_num
76561197989744167,apEX,CSmokeGrenadeProjectile,6144,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6152,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6160,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6168,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6176,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6184,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6192,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6200,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6208,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6216,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6224,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6232,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6240,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6248,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6256,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6264,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6272,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6280,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6288,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6296,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6304,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6312,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6320,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6328,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6336,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6344,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6352,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6360,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6368,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6376,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6384,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6392,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6400,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6408,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6416,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6424,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6432,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6440,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6448,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6456,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6464,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6472,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6480,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6488,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6496,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6504,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6512,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6520,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6528,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6536,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6544,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6552,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6560,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6568,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6576,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6584,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6592,2299.875,2172.7812,134.03125,597,1
76561197989744167,apEX,CSmokeGrenadeProjectile,6600,2299.875,2172.7812,134.03125,597,1
76561198194325317,dumau,CSmokeGrenade,7104,,,,328,2
76561198194325317,dumau,CSmokeGrenade,7112,,,,328,2
76561198194325317,dumau,CSmokeGrenade,7120,,,,328,2
76561198194325317,dumau,CFlashbang,7120,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7128,,,,328,2
76561198194325317,dumau,CFlashbang,7128,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7136,,,,328,2
76561198194325317,dumau,CFlashbang,7136,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7144,,,,328,2
76561198194325317,dumau,CFlashbang,7144,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7152,,,,328,2
76561198194325317,dumau,CFlashbang,7152,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7160,,,,328,2
76561198194325317,dumau,CFlashbang,7160,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7168,,,,328,2
76561198194325317,dumau,CFlashbang,7168,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7176,,,,328,2
76561198194325317,dumau,CFlashbang,7176,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7184,,,,328,2
76561198194325317,dumau,CFlashbang,7184,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7192,,,,328,2
76561198194325317,dumau,CFlashbang,7192,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7200,,,,328,2
76561198194325317,dumau,CFlashbang,7200,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7208,,,,328,2
76561198194325317,dumau,CFlashbang,7208,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7216,,,,328,2
76561198194325317,dumau,CFlashbang,7216,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7224,,,,328,2
76561198194325317,dumau,CFlashbang,7224,,,,329,2
76561198194325317,dumau,CSmokeGrenade,7232,,,,328,2
